Stock code,Name
6888.KL,AXIATA GROUP BERHAD
1023.KL,CIMB GROUP HOLDINGS BERHAD
7277.KL,DIALOG GROUP BHD
6947.KL,DIGI.COM BHD
3182.KL,GENTING BHD
4715.KL,GENTING MALAYSIA BERHAD
5168.KL,HARTALEGA HOLDINGS BHD
5819.KL,HONG LEONG BANK BHD
1082.KL,HONG LEONG FINANCIAL GROUP BHD
5225.KL,IHH HEALTHCARE BERHAD
166.KL,INARI AMERTRON BERHAD
1961.KL,IOI CORPORATION BHD
2445.KL,KUALA LUMPUR KEPONG BHD
1155.KL,MALAYAN BANKING BHD
6012.KL,MAXIS BERHAD
3816.KL,MISC BHD
5296.KL,MR D.I.Y. GROUP (M) BERHAD
4707.KL,NESTLE (M) BHD
5183.KL,PETRONAS CHEMICALS GROUP BHD
5681.KL,PETRONAS DAGANGAN BHD
6033.KL,PETRONAS GAS BHD
4065.KL,PPB GROUP BHD
8869.KL,PRESS METAL ALUMINIUM HOLDINGS BERHAD
1295.KL,PUBLIC BANK BHD
1066.KL,RHB BANK BERHAD
4197.KL,SIME DARBY BHD
5285.KL,SIME DARBY PLANTATION BERHAD
4863.KL,TELEKOM MALAYSIA BHD
5347.KL,TENAGA NASIONAL BHD
7113.KL,TOP GLOVE CORPORATION BHD
